epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00216,3.54777,5.16861,4.15715,0.00059,0.13855,0.0004,0.0001,3.18365,4.31965,4.13967,0.000541775,0.000541775,0.000541775
2,8.21363,3.34477,4.59468,3.78146,0.00041,0.09639,0.00027,8e-05,3.28581,4.18488,4.30139,0.00109636,0.00109636,0.00109636
3,12.3067,2.99868,4.18556,3.4383,0.00105,0.14458,0.00074,0.0002,3.03326,4.21541,3.91537,0.00164984,0.00164984,0.00164984
4,16.2616,2.68624,3.7795,3.14273,0.67903,0.11747,0.09848,0.04465,2.42254,3.29105,3.26264,0.00166205,0.00166205,0.00166205
5,20.1608,2.46279,3.3712,2.91521,0.77323,0.20181,0.19088,0.1068,2.2431,2.61794,2.99192,0.0016604,0.0016604,0.0016604
6,24.0133,2.24677,2.92735,2.72402,0.70587,0.14125,0.13347,0.0738,2.36045,2.90758,2.91484,0.00165875,0.00165875,0.00165875
7,27.8718,1.99435,2.58553,2.49936,0.83178,0.26506,0.30302,0.17052,2.13049,2.26873,2.82103,0.0016571,0.0016571,0.0016571
8,31.7722,1.84748,2.25252,2.39186,0.89527,0.30422,0.33111,0.22216,1.82611,2.09641,2.48174,0.00165545,0.00165545,0.00165545
9,35.6104,1.66641,2.06489,2.2495,0.80776,0.27969,0.29304,0.19103,1.76224,2.25321,2.42577,0.0016538,0.0016538,0.0016538
10,39.5153,1.56293,1.86343,2.11611,0.89187,0.33434,0.36331,0.25636,1.59186,1.9012,2.26274,0.00165215,0.00165215,0.00165215
11,43.614,1.48481,1.68783,2.0345,0.90568,0.34337,0.39016,0.28315,1.54244,2.25348,2.2261,0.0016505,0.0016505,0.0016505
12,48.057,1.38148,1.56773,1.97035,0.89689,0.34036,0.39901,0.29359,1.48937,1.64366,2.11169,0.00164885,0.00164885,0.00164885
13,51.8764,1.41774,1.56003,1.94847,0.9091,0.31325,0.36965,0.26305,1.65663,1.8346,2.15485,0.0016472,0.0016472,0.0016472
14,55.4076,1.35422,1.50213,1.90477,0.91537,0.36957,0.44163,0.33176,1.42352,1.4204,1.99682,0.00164555,0.00164555,0.00164555
15,59.3499,1.27094,1.41673,1.82068,0.9142,0.3494,0.43845,0.33058,1.43679,1.46803,2.03691,0.0016439,0.0016439,0.0016439
16,63.5911,1.22353,1.31759,1.76312,0.90645,0.39458,0.44876,0.34348,1.36453,1.2716,1.94483,0.00164225,0.00164225,0.00164225
17,67.8459,1.17737,1.23128,1.71459,0.77084,0.45094,0.48129,0.364,1.3479,1.28838,1.88619,0.00164059,0.00164059,0.00164059
18,71.7428,1.21512,1.22854,1.73051,0.91822,0.43235,0.49284,0.3725,1.33264,1.3486,1.88768,0.00163894,0.00163894,0.00163894
19,75.5648,1.12928,1.13878,1.64382,0.84265,0.41163,0.49239,0.39316,1.13152,1.39281,1.70534,0.00163729,0.00163729,0.00163729
20,79.4333,1.06247,1.06372,1.55152,0.75531,0.4824,0.52318,0.402,1.10724,1.11362,1.7443,0.00163564,0.00163564,0.00163564
21,83.2497,1.09996,1.11708,1.6004,0.91014,0.45263,0.53527,0.40738,1.14254,1.27833,1.68427,0.00163399,0.00163399,0.00163399
22,87.1967,1.06717,1.07287,1.5898,0.86255,0.43137,0.53467,0.39226,1.13741,1.15472,1.65112,0.00163234,0.00163234,0.00163234
23,90.7705,1.01883,1.03473,1.53605,0.92523,0.48354,0.57064,0.43152,1.07383,1.0154,1.62389,0.00163069,0.00163069,0.00163069
24,94.6608,1.03098,0.9828,1.50098,0.85469,0.49705,0.56912,0.42133,1.18527,1.14173,1.60595,0.00162904,0.00162904,0.00162904
25,98.2836,1.02286,1.02959,1.48872,0.73922,0.53946,0.59156,0.43592,1.06878,1.03081,1.55021,0.00162739,0.00162739,0.00162739
26,102.33,1.05773,1.04495,1.51793,0.73746,0.54261,0.59932,0.46376,1.02959,1.04599,1.52178,0.00162574,0.00162574,0.00162574
27,106.475,1.01214,1.02649,1.45847,0.71841,0.5574,0.61485,0.43371,1.10442,1.03776,1.56784,0.00162409,0.00162409,0.00162409
28,110.129,0.98694,0.95282,1.43006,0.68403,0.58845,0.61325,0.4718,0.93717,0.89039,1.38762,0.00162244,0.00162244,0.00162244
29,114.108,0.98087,0.95432,1.41743,0.72768,0.59802,0.63387,0.46643,1.08616,1.07433,1.55407,0.00162079,0.00162079,0.00162079
30,118.143,0.9602,0.89965,1.40284,0.7075,0.614,0.64059,0.47681,0.99348,0.89114,1.49669,0.00161914,0.00161914,0.00161914
31,122.21,0.99836,0.92547,1.39413,0.79557,0.6307,0.70202,0.49691,1.06021,1.0662,1.47347,0.00161749,0.00161749,0.00161749
