epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36234,3.56579,4.82199,4.09832,0.0004,0.03313,0.00028,7e-05,3.19356,4.19734,4.15789,0.000541775,0.000541775,0.000541775
2,22.0859,3.29564,3.95088,3.69874,0.00088,0.09337,0.00056,0.00016,3.10472,4.245,4.0545,0.00109636,0.00109636,0.00109636
3,38.9249,2.8934,3.31135,3.33521,0.69012,0.11747,0.09442,0.02483,2.66662,3.19203,3.64807,0.00164984,0.00164984,0.00164984
4,61.275,2.60743,2.84284,3.01334,0.69537,0.09036,0.09952,0.06054,2.51305,3.6035,3.16784,0.00166205,0.00166205,0.00166205
5,79.9673,2.44646,2.61792,2.83968,0.86839,0.18373,0.23328,0.14251,2.18268,2.93075,2.93091,0.0016604,0.0016604,0.0016604
6,96.9067,2.13427,2.33329,2.6295,0.863,0.19277,0.23074,0.11631,2.32213,2.37264,2.85095,0.00165875,0.00165875,0.00165875
7,112.143,1.92869,2.00861,2.3868,0.86724,0.28012,0.32463,0.19028,1.89514,2.02781,2.54269,0.0016571,0.0016571,0.0016571
8,129.804,1.72445,1.79824,2.20455,0.69629,0.36211,0.40747,0.24892,1.8795,2.1864,2.46469,0.00165545,0.00165545,0.00165545
9,145.267,1.57278,1.64636,2.10645,0.88911,0.37349,0.47877,0.30824,1.71598,1.81955,2.24629,0.0016538,0.0016538,0.0016538
10,160.583,1.46573,1.4662,1.96966,0.63894,0.34731,0.40701,0.25752,1.85017,1.77991,2.34999,0.00165215,0.00165215,0.00165215
11,173.808,1.37413,1.35465,1.86976,0.90256,0.35542,0.44714,0.27016,1.62573,1.59894,2.24169,0.0016505,0.0016505,0.0016505
12,188.225,1.29145,1.25218,1.81148,0.60786,0.42957,0.47093,0.30646,1.67103,2.4248,2.11308,0.00164885,0.00164885,0.00164885
13,202.517,1.31102,1.26628,1.80688,0.72168,0.45131,0.50924,0.33869,1.60521,1.50179,2.0272,0.0016472,0.0016472,0.0016472
14,221.983,1.24017,1.18693,1.74212,0.62068,0.50553,0.53718,0.36142,1.39538,1.19256,1.94481,0.00164555,0.00164555,0.00164555
15,241.795,1.18423,1.13618,1.67371,0.69089,0.50926,0.57285,0.3863,1.35354,1.26781,1.89147,0.0016439,0.0016439,0.0016439
16,265.613,1.15389,1.07085,1.65341,0.75647,0.52258,0.59156,0.39656,1.3096,1.19988,1.82561,0.00164225,0.00164225,0.00164225
17,285.572,1.12172,1.02731,1.61453,0.64286,0.60218,0.62686,0.38734,1.40866,1.49179,1.83237,0.00164059,0.00164059,0.00164059
18,299.179,1.07333,1.00797,1.56673,0.69609,0.59251,0.6437,0.43543,1.19129,1.09473,1.71684,0.00163894,0.00163894,0.00163894
19,316.957,1.04519,0.94832,1.54289,0.67501,0.63325,0.6603,0.47406,1.06775,0.92973,1.62607,0.00163729,0.00163729,0.00163729
20,337.127,0.99824,0.89575,1.47038,0.82194,0.60405,0.68593,0.49743,1.03412,0.86673,1.54119,0.00163564,0.00163564,0.00163564
21,351.723,1.01269,0.91072,1.47007,0.73039,0.67154,0.70199,0.48705,1.14478,0.9309,1.63692,0.00163399,0.00163399,0.00163399
22,362.613,1.01848,0.89379,1.52145,0.76749,0.63799,0.69341,0.4981,1.04929,1.03097,1.51643,0.00163234,0.00163234,0.00163234
23,374.91,0.98048,0.88396,1.44047,0.83244,0.64284,0.72663,0.52866,1.03992,0.95512,1.50595,0.00163069,0.00163069,0.00163069
24,389.681,0.93358,0.82435,1.38533,0.83415,0.72487,0.76719,0.55896,0.97629,0.80469,1.458,0.00162904,0.00162904,0.00162904
25,409.786,0.90108,0.83011,1.37022,0.78509,0.69782,0.75285,0.53512,0.98967,0.91279,1.44246,0.00162739,0.00162739,0.00162739
26,423.234,0.95673,0.85221,1.40648,0.77939,0.69067,0.7474,0.54518,0.9684,0.82372,1.40919,0.00162574,0.00162574,0.00162574
27,436.236,0.95344,0.82345,1.37106,0.80831,0.71463,0.76932,0.57515,0.91162,0.80546,1.36144,0.00162409,0.00162409,0.00162409
28,453.1,0.89594,0.78396,1.33623,0.78126,0.71764,0.77522,0.56128,0.92526,0.8284,1.33915,0.00162244,0.00162244,0.00162244
29,464.661,0.89896,0.78965,1.3385,0.81766,0.7242,0.76974,0.54048,1.01933,0.8475,1.41645,0.00162079,0.00162079,0.00162079
30,477.052,0.86355,0.71429,1.30851,0.78493,0.71714,0.77445,0.56619,0.89057,0.80829,1.37619,0.00161914,0.00161914,0.00161914
31,490.021,0.89385,0.76745,1.30901,0.83632,0.75665,0.80958,0.57402,1.02364,0.89089,1.41411,0.00161749,0.00161749,0.00161749
32,505.103,0.87444,0.7612,1.31559,0.7576,0.73942,0.78668,0.58401,0.88062,0.90347,1.28434,0.00161584,0.00161584,0.00161584
